UUID: f08c55e0-31af-4d4f-abce-20a7e807dae6
NEW CROP, APPLE, amount: 853kg, in week: 22
NEW CROP, WHEET, amount: 525kg, in week: 24


UUID: 336cfb95-666b-4a48-98c7-c4a9a75df77d
NEW CROP, HEMP, amount: 608kg, in week: 1
CROPT HAS BEEN SHIPPED, HEMP, amount: 608kg, in week:1
NEW PRODUCT, Hemp Tea, amount: 121kg, shop price: 173.0 in week:1 by7efd85f5-9614-436e-a024-da9b68cfb3c9
PRODUCT HAS BEEN SHIPPED, Hemp Tea, shop price: 173.0 in week:2
PRODUCT HAS BEEN PURCHASED, Hemp Tea, amount: 9kg, shop price: 173.0 in week:2 by customer 52a1045c-9cd3-4a91-867b-831791e74768
PRODUCT HAS BEEN PURCHASED, Hemp Tea, amount: 10kg, shop price: 173.0 in week:2 by customer ef0b3a8e-86be-44ed-8bac-66453f6ca9d3
PRODUCT HAS BEEN PURCHASED, Hemp Tea, amount: 10kg, shop price: 173.0 in week:2 by customer 6b5179ae-f789-4a31-80fd-19c4ec1e05dc
PRODUCT HAS BEEN PURCHASED, Hemp Tea, amount: 10kg, shop price: 173.0 in week:2 by customer 924b4385-d34d-4643-9297-9ba437fd4c02
PRODUCT HAS BEEN PURCHASED, Hemp Tea, amount: 13kg, shop price: 173.0 in week:2 by customer 0e9a2add-46d8-4203-8870-63ce7f2c58ff
PRODUCT HAS BEEN PURCHASED, Hemp Tea, amount: 10kg, shop price: 173.0 in week:2 by customer 6db4bd33-466c-49ae-82c9-405274dd6cc3
PRODUCT HAS BEEN PURCHASED, Hemp Tea, amount: 15kg, shop price: 173.0 in week:2 by customer efca471d-e2bd-4c17-b67f-1cc00d55efc9
PRODUCT HAS BEEN PURCHASED, Hemp Tea, amount: 10kg, shop price: 173.0 in week:2 by customer 8276cbfb-3f19-4d6a-9509-1ec15e227268
PRODUCT HAS BEEN PURCHASED, Hemp Tea, amount: 10kg, shop price: 173.0 in week:2 by customer 055581db-2768-4be0-ba96-6cfab6d123e5
PRODUCT HAS BEEN PURCHASED, Hemp Tea, amount: 10kg, shop price: 173.0 in week:2 by customer 4e1b3141-7331-4e78-bcca-02aa6f414e98
PRODUCT HAS BEEN PURCHASED, Hemp Tea, amount: 10kg, shop price: 173.0 in week:2 by customer fff3c27d-c704-4699-af81-c3c77e29e9ff
PRODUCT HAS BEEN PURCHASED, Hemp Tea, amount: 10kg, shop price: 173.0 in week:2 by customer 2c084fc4-4f91-4aaf-a6bc-aef2e4cb1fd1
PRODUCT HAS BEEN PURCHASED, Hemp Tea, amount: 10kg, shop price: 173.0 in week:2 by customer 7e4211da-30b8-48c3-9907-9b1df35caea9
PRODUCT HAS BEEN PURCHASED, Hemp Tea, amount: 10kg, shop price: 173.0 in week:2 by customer 28e44809-f166-45fa-adfc-29125cd8e8f4
PRODUCT HAS BEEN PURCHASED, Hemp Tea, amount: 13kg, shop price: 173.0 in week:2 by customer becbced8-0ace-4978-bbef-f166034bce83
PRODUCT HAS BEEN PURCHASED, Hemp Tea, amount: 5kg, shop price: 173.0 in week:2 by customer 662cc495-9000-48a7-a42f-2c590c3bd2ff
PRODUCT HAS BEEN PURCHASED, Hemp Tea, amount: 9kg, shop price: 173.0 in week:2 by customer aa1319da-5693-44f4-bb10-430321d1dacd
PRODUCT HAS BEEN PURCHASED, Hemp Tea, amount: 6kg, shop price: 173.0 in week:2 by customer a1df63d7-c2dd-4849-9f89-b21c22791d59
PRODUCT HAS BEEN PURCHASED, Hemp Tea, amount: 10kg, shop price: 173.0 in week:2 by customer 51de2388-15dd-46a6-a4d0-a7eef0e64c4a
PRODUCT WAS SOLD OUT, in week:2


UUID: 1414924e-83e2-45c8-9eab-44802935c7fa
NEW CROP, POPPY, amount: 684kg, in week: 23


UUID: 1e35fab3-639c-44d9-925b-d20f51d842d2
NEW CROP, SUGARBEAT, amount: 766kg, in week: 11
CROPT HAS BEEN SHIPPED, SUGARBEAT, amount: 766kg, in week:11
NEW PRODUCT, Suggar, amount: 497kg, shop price: 42.55 in week:11 by7e13ae06-9ac1-426f-bc58-1726e61d33e5
PRODUCT HAS BEEN SHIPPED, Suggar, shop price: 42.55 in week:12
PRODUCT HAS BEEN PURCHASED, Suggar, amount: 10kg, shop price: 42.55 in week:12 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
PRODUCT HAS BEEN PURCHASED, Suggar, amount: 11kg, shop price: 42.55 in week:13 by customer 51f1e967-36db-4b75-a6e9-fb1fb517f30c
PRODUCT HAS BEEN PURCHASED, Suggar, amount: 10kg, shop price: 42.55 in week:13 by customer 7dfafab9-eeba-4dca-bf4c-d29d55b2f7ac
PRODUCT HAS BEEN PURCHASED, Suggar, amount: 10kg, shop price: 42.55 in week:13 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
PRODUCT HAS BEEN PURCHASED, Suggar, amount: 9kg, shop price: 42.55 in week:14 by customer 51f1e967-36db-4b75-a6e9-fb1fb517f30c
PRODUCT HAS BEEN PURCHASED, Suggar, amount: 10kg, shop price: 42.55 in week:14 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
PRODUCT HAS BEEN PURCHASED, Suggar, amount: 15kg, shop price: 42.55 in week:15 by customer 7dfafab9-eeba-4dca-bf4c-d29d55b2f7ac
PRODUCT HAS BEEN PURCHASED, Suggar, amount: 10kg, shop price: 42.55 in week:15 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
PRODUCT HAS BEEN PURCHASED, Suggar, amount: 10kg, shop price: 42.55 in week:17 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
THE REST OF PRODUCT WAS SPOILED, in week:17


UUID: 4e0c1671-8957-49f5-9678-95bf4a3781b0
NEW CROP, BARLEY, amount: 726kg, in week: 25


UUID: aa1f7bb2-2fff-49bd-af2a-f52a41765c3c
NEW CROP, HOP, amount: 822kg, in week: 25


UUID: 78abcaf7-5618-42f3-93e0-543350cb5d0a
NEW CROP, CUCCUMBER, amount: 788kg, in week: 12


UUID: 074ad62f-fa13-4ee9-b29d-15f0dc42d616
NEW CROP, CORN, amount: 176kg, in week: 6


UUID: b4b27b8f-f863-4833-a8a7-ffdfd2d58266
NEW CROP, CHERRIES, amount: 695kg, in week: 19
CROP HAS BEEN HARVESTED IN WEEK: 26 by ac950e3d-7a33-424b-877c-d982854da92e
CROPT HAS BEEN SHIPPED, CHERRIES, amount: 695kg, in week:27
NEW PRODUCT, CHERRIEScompote, amount: 590kg, shop price: 75.0 in week:27 by552d2f59-9890-48e8-bbae-07b56d4f926f
PRODUCT HAS BEEN SHIPPED, CHERRIEScompote, shop price: 75.0 in week:28
PRODUCT HAS BEEN PURCHASED, CHERRIEScompote, amount: 11kg, shop price: 75.0 in week:29 by customer 7dfafab9-eeba-4dca-bf4c-d29d55b2f7ac
PRODUCT HAS BEEN PURCHASED, CHERRIEScompote, amount: 6kg, shop price: 75.0 in week:30 by customer 51f1e967-36db-4b75-a6e9-fb1fb517f30c


UUID: 21dc562d-8c3c-4b56-a7ac-ddcef52bdb78
NEW CROP, LENTIL, amount: 302kg, in week: 12


UUID: 0de9df91-239b-446e-8148-cdc94689cb2e
NEW CROP, SUNFLOWER, amount: 994kg, in week: 4


UUID: ea9b0bab-abe8-400b-a8cf-fabaf96e1563
NEW CROP, GRAPEVINE, amount: 422kg, in week: 4


UUID: 6658ee9b-71b4-4929-a0f2-283d3e7bae45
NEW CROP, POTATO, amount: 459kg, in week: 24


UUID: 4cb34b90-b198-468f-89e8-d5335550810f
NEW CROP, PLUMS, amount: 963kg, in week: 8


UUID: b3b4ce5a-37a5-4e79-beee-1663f899b096
NEW CROP, PLUMS, amount: 414kg, in week: 28
CROP HAS BEEN HARVESTED IN WEEK: 29 by bb788b93-b043-416b-88c0-8fc015dc3e31
CROPT HAS BEEN SHIPPED, PLUMS, amount: 414kg, in week:30
NEW PRODUCT, PLUMSjuice, amount: 351l, shop price: 120.07 in week:30 by7e13ae06-9ac1-426f-bc58-1726e61d33e5


UUID: 3500576a-fc0f-4066-b5eb-8a950ca84161
NEW CROP, LENTIL, amount: 610kg, in week: 11
CROPT HAS BEEN SHIPPED, LENTIL, amount: 610kg, in week:11
NEW PRODUCT, RawLENTIL, amount: 610kg, shop price: 6.0 in week:11 by552d2f59-9890-48e8-bbae-07b56d4f926f
PRODUCT HAS BEEN SHIPPED, RawLENTIL, shop price: 6.0 in week:12
PRODUCT HAS BEEN PURCHASED, RawLENTIL, amount: 11kg, shop price: 6.0 in week:12 by customer badcc8d5-3fb3-43c3-b658-beb8dea5a912
PRODUCT HAS BEEN PURCHASED, RawLENTIL, amount: 6kg, shop price: 6.0 in week:14 by customer 7dfafab9-eeba-4dca-bf4c-d29d55b2f7ac
PRODUCT HAS BEEN PURCHASED, RawLENTIL, amount: 10kg, shop price: 6.0 in week:15 by customer badcc8d5-3fb3-43c3-b658-beb8dea5a912
PRODUCT HAS BEEN PURCHASED, RawLENTIL, amount: 8kg, shop price: 6.0 in week:16 by customer 51f1e967-36db-4b75-a6e9-fb1fb517f30c
PRODUCT HAS BEEN PURCHASED, RawLENTIL, amount: 10kg, shop price: 6.0 in week:16 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
PRODUCT HAS BEEN PURCHASED, RawLENTIL, amount: 8kg, shop price: 6.0 in week:17 by customer badcc8d5-3fb3-43c3-b658-beb8dea5a912
PRODUCT HAS BEEN PURCHASED, RawLENTIL, amount: 10kg, shop price: 6.0 in week:17 by customer 7dfafab9-eeba-4dca-bf4c-d29d55b2f7ac
THE REST OF PRODUCT WAS SPOILED, in week:17


UUID: ba3af39c-f446-4c1f-b229-5257a95d2468
NEW CROP, BARLEY, amount: 416kg, in week: 14
CROP HAS BEEN HARVESTED IN WEEK: 18 by ac950e3d-7a33-424b-877c-d982854da92e


UUID: bd4b7f10-dd27-4ec2-b0a5-268a7b9b60bc
NEW CROP, PLUMS, amount: 770kg, in week: 2


UUID: af60fbc7-0b9a-4927-8c7c-54a23c98aaea
NEW CROP, RYE, amount: 508kg, in week: 23


UUID: 2273fa21-dc4b-4ed9-9c9c-3c546751c5e4
NEW CROP, SUNFLOWER, amount: 491kg, in week: 28


UUID: 4dddb447-abac-480a-a8b7-f9e7093f4eee
NEW CROP, SALAD, amount: 431kg, in week: 22


UUID: 86d0ac79-ef6f-4467-8da7-a66ac483da51
NEW CROP, BEAN, amount: 199kg, in week: 5


UUID: 44db0093-eed6-4d76-a713-1f0b6af7fdb8
NEW CROP, CHERRIES, amount: 525kg, in week: 15


UUID: 2f00ba30-0966-4fc2-85fa-e2532a2546d8
NEW CROP, CHERRIES, amount: 907kg, in week: 6


UUID: b22dc64f-a369-41c7-a1a3-6c8025a1528c
NEW CROP, POPPY, amount: 503kg, in week: 23


UUID: 93f7e955-341f-4c53-adcc-a148754d23e3
NEW CROP, BARLEY, amount: 233kg, in week: 18
CROP HAS BEEN HARVESTED IN WEEK: 20 by ac950e3d-7a33-424b-877c-d982854da92e


UUID: b1afa0c3-0fd0-490c-89c7-87e27332a660
NEW CROP, BEAN, amount: 799kg, in week: 24


UUID: ad8e4ed2-61c6-4dff-b2b7-5e2cad65ea51
NEW CROP, GRAPEVINE, amount: 893kg, in week: 2


UUID: bc7b434c-26e1-43f5-a8b5-f453fb8ea59a
NEW CROP, OATS, amount: 851kg, in week: 2


UUID: 074cea61-2525-4541-94cc-9f0527746922
NEW CROP, HOP, amount: 747kg, in week: 14
CROP HAS BEEN HARVESTED IN WEEK: 19 by d7a60a24-9c81-4de4-8b6f-8eb7359f8ee9


UUID: 5b34db83-37c9-4b47-ac56-a69cb3af3584
NEW CROP, CUCCUMBER, amount: 850kg, in week: 13


UUID: 8620c3a1-4687-4eb9-a654-d245c4709107
NEW CROP, FLEX, amount: 728kg, in week: 10


UUID: 989b8e2b-0d3a-4181-bd00-18b1929969f9
NEW CROP, WHEET, amount: 800kg, in week: 21
CROP HAS BEEN HARVESTED IN WEEK: 28 by d7a60a24-9c81-4de4-8b6f-8eb7359f8ee9
CROPT HAS BEEN SHIPPED, WHEET, amount: 800kg, in week:29
NEW PRODUCT, Flour, amount: 320kg, shop price: 32.0 in week:29 by552d2f59-9890-48e8-bbae-07b56d4f926f
PRODUCT HAS BEEN SHIPPED, Flour, shop price: 32.0 in week:30
PRODUCT HAS BEEN PURCHASED, Flour, amount: 11kg, shop price: 32.0 in week:30 by customer 51f1e967-36db-4b75-a6e9-fb1fb517f30c


UUID: afc95d0d-89fd-4ffe-ba76-a7a02d50ac9d
NEW CROP, CHERRIES, amount: 898kg, in week: 10


UUID: 347384f3-8317-459f-841b-4c4f80177a97
NEW CROP, WHEET, amount: 525kg, in week: 11
CROP HAS BEEN HARVESTED IN WEEK: 15 by 1a6111ef-fb73-4928-bb4b-404e31c01ef4


UUID: 522e980a-b196-46ab-b061-b2ee7dbb52f0
NEW CROP, GRAPEVINE, amount: 375kg, in week: 25


UUID: a27e6640-bd5f-4cfc-877c-4cab4e4b68de
NEW CROP, POPPY, amount: 353kg, in week: 4


UUID: 166af8f0-3a69-44aa-8fed-2a842adfc30e
NEW CROP, PLUMS, amount: 352kg, in week: 15
CROP HAS BEEN HARVESTED IN WEEK: 21 by bb788b93-b043-416b-88c0-8fc015dc3e31
CROPT HAS BEEN SHIPPED, PLUMS, amount: 352kg, in week:22
NEW PRODUCT, PLUMS, amount: 352kg, shop price: 98.1 in week:22 by7e13ae06-9ac1-426f-bc58-1726e61d33e5
PRODUCT HAS BEEN SHIPPED, PLUMS, shop price: 98.1 in week:23
PRODUCT HAS BEEN PURCHASED, PLUMS, amount: 11kg, shop price: 98.1 in week:24 by customer 7dfafab9-eeba-4dca-bf4c-d29d55b2f7ac
PRODUCT HAS BEEN PURCHASED, PLUMS, amount: 10kg, shop price: 98.1 in week:25 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
PRODUCT HAS BEEN PURCHASED, PLUMS, amount: 15kg, shop price: 98.1 in week:26 by customer 7dfafab9-eeba-4dca-bf4c-d29d55b2f7ac
PRODUCT HAS BEEN PURCHASED, PLUMS, amount: 10kg, shop price: 98.1 in week:26 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
THE REST OF PRODUCT WAS SPOILED, in week:28


UUID: 80037d08-4932-4daa-9300-95643d913285
NEW CROP, OILSEED, amount: 553kg, in week: 11
CROPT HAS BEEN SHIPPED, OILSEED, amount: 553kg, in week:11
NEW PRODUCT, Biofuel, amount: 82kg, shop price: 412.0 in week:11 by552d2f59-9890-48e8-bbae-07b56d4f926f
PRODUCT HAS BEEN SHIPPED, Biofuel, shop price: 412.0 in week:12
PRODUCT HAS BEEN PURCHASED, Biofuel, amount: 10kg, shop price: 412.0 in week:12 by customer badcc8d5-3fb3-43c3-b658-beb8dea5a912
PRODUCT HAS BEEN PURCHASED, Biofuel, amount: 15kg, shop price: 412.0 in week:12 by customer 51f1e967-36db-4b75-a6e9-fb1fb517f30c
PRODUCT HAS BEEN PURCHASED, Biofuel, amount: 9kg, shop price: 412.0 in week:13 by customer badcc8d5-3fb3-43c3-b658-beb8dea5a912
PRODUCT HAS BEEN PURCHASED, Biofuel, amount: 5kg, shop price: 412.0 in week:15 by customer 61016f7e-f5fd-477d-b2f4-e220c26fc03c
PRODUCT HAS BEEN PURCHASED, Biofuel, amount: 5kg, shop price: 412.0 in week:16 by customer badcc8d5-3fb3-43c3-b658-beb8dea5a912
PRODUCT HAS BEEN PURCHASED, Biofuel, amount: 13kg, shop price: 412.0 in week:16 by customer 51f1e967-36db-4b75-a6e9-fb1fb517f30c
PRODUCT HAS BEEN PURCHASED, Biofuel, amount: 11kg, shop price: 412.0 in week:16 by customer 7dfafab9-eeba-4dca-bf4c-d29d55b2f7ac
PRODUCT HAS BEEN PURCHASED, Biofuel, amount: 10kg, shop price: 412.0 in week:16 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
PRODUCT WAS SOLD OUT, in week:17


UUID: 28bb3653-3d8c-4e14-baeb-257293b871b2
NEW CROP, BEAN, amount: 989kg, in week: 11
CROPT HAS BEEN SHIPPED, BEAN, amount: 989kg, in week:11
NEW PRODUCT, Can of BEAN, amount: 791kg, shop price: 14.0 in week:11 by7e13ae06-9ac1-426f-bc58-1726e61d33e5
PRODUCT HAS BEEN SHIPPED, Can of BEAN, shop price: 14.0 in week:12
PRODUCT HAS BEEN PURCHASED, Can of BEAN, amount: 10kg, shop price: 14.0 in week:12 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
PRODUCT HAS BEEN PURCHASED, Can of BEAN, amount: 6kg, shop price: 14.0 in week:13 by customer 7dfafab9-eeba-4dca-bf4c-d29d55b2f7ac
PRODUCT HAS BEEN PURCHASED, Can of BEAN, amount: 10kg, shop price: 14.0 in week:13 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
PRODUCT HAS BEEN PURCHASED, Can of BEAN, amount: 5kg, shop price: 14.0 in week:14 by customer 51f1e967-36db-4b75-a6e9-fb1fb517f30c
PRODUCT HAS BEEN PURCHASED, Can of BEAN, amount: 10kg, shop price: 14.0 in week:14 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
PRODUCT HAS BEEN PURCHASED, Can of BEAN, amount: 6kg, shop price: 14.0 in week:15 by customer 7dfafab9-eeba-4dca-bf4c-d29d55b2f7ac
PRODUCT HAS BEEN PURCHASED, Can of BEAN, amount: 10kg, shop price: 14.0 in week:15 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
PRODUCT HAS BEEN PURCHASED, Can of BEAN, amount: 10kg, shop price: 14.0 in week:17 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
THE REST OF PRODUCT WAS SPOILED, in week:17


UUID: 5e0dbbed-4f96-42a9-9189-1269159dca46
NEW CROP, TOMATO, amount: 408kg, in week: 22


UUID: 8fa1a73f-76cf-4761-9088-7aa9dc3cafca
NEW CROP, OILSEED, amount: 430kg, in week: 5


UUID: 6efe1dec-ff91-4d6e-a1ee-1a7c597c03ea
NEW CROP, CUCCUMBER, amount: 712kg, in week: 14


UUID: 148bb5d0-fe3d-4126-b710-672450c9fe57
NEW CROP, SUGARBEAT, amount: 870kg, in week: 24


UUID: ec50c2a1-a5d5-444e-b441-c129c112b3fb
NEW CROP, GRAPEVINE, amount: 638kg, in week: 23


UUID: 0b7e99d6-3958-40f5-a0fa-6fc78c374ce3
NEW CROP, CHERRIES, amount: 751kg, in week: 2


UUID: 6029b00a-82a1-4b6a-862d-eae434a3a56e
NEW CROP, ONION, amount: 241kg, in week: 5


UUID: 9f65cdec-9b2d-4693-89a8-6d027cda07aa
NEW CROP, TOMATO, amount: 314kg, in week: 7


UUID: 4501193f-9708-4101-a9fb-dcc63d1dc2f9
NEW CROP, CUCCUMBER, amount: 718kg, in week: 22


UUID: 9dde3d06-2307-42d0-982b-ef1e756f3fbb
NEW CROP, PLUMS, amount: 196kg, in week: 13


UUID: 5bd27109-5c89-48b2-b763-3502f07b2802
NEW CROP, APPLE, amount: 808kg, in week: 13
CROP HAS BEEN HARVESTED IN WEEK: 15 by bb788b93-b043-416b-88c0-8fc015dc3e31
CROPT HAS BEEN SHIPPED, APPLE, amount: 808kg, in week:16
NEW PRODUCT, APPLEjuice, amount: 686l, shop price: 95.0 in week:16 by552d2f59-9890-48e8-bbae-07b56d4f926f
PRODUCT HAS BEEN SHIPPED, APPLEjuice, shop price: 95.0 in week:17
PRODUCT HAS BEEN PURCHASED, APPLEjuice, amount: 10l, shop price: 95.0 in week:17 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
PRODUCT HAS BEEN PURCHASED, APPLEjuice, amount: 12l, shop price: 95.0 in week:18 by customer badcc8d5-3fb3-43c3-b658-beb8dea5a912
PRODUCT HAS BEEN PURCHASED, APPLEjuice, amount: 10l, shop price: 95.0 in week:20 by customer badcc8d5-3fb3-43c3-b658-beb8dea5a912
PRODUCT HAS BEEN PURCHASED, APPLEjuice, amount: 6l, shop price: 95.0 in week:20 by customer 7dfafab9-eeba-4dca-bf4c-d29d55b2f7ac
PRODUCT HAS BEEN PURCHASED, APPLEjuice, amount: 8l, shop price: 95.0 in week:21 by customer 7dfafab9-eeba-4dca-bf4c-d29d55b2f7ac
PRODUCT HAS BEEN PURCHASED, APPLEjuice, amount: 5l, shop price: 95.0 in week:22 by customer 7dfafab9-eeba-4dca-bf4c-d29d55b2f7ac
PRODUCT HAS BEEN PURCHASED, APPLEjuice, amount: 10l, shop price: 95.0 in week:22 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
THE REST OF PRODUCT WAS SPOILED, in week:22


UUID: 82ef3732-1a93-413b-86c3-5d038843b50e
NEW CROP, BARLEY, amount: 450kg, in week: 13


UUID: d599d52e-abf5-4066-8c94-7996a6adf472
NEW CROP, BARLEY, amount: 321kg, in week: 3


UUID: 7c9d12bc-ce5e-47be-9666-c3452f024519
NEW CROP, ONION, amount: 671kg, in week: 28


UUID: 01ecd37f-8d93-46a8-8fbf-12d5d890a0ab
NEW CROP, LENTIL, amount: 301kg, in week: 23


UUID: 63d44f37-6cbe-401e-b840-7e0c56824876
NEW CROP, SUNFLOWER, amount: 792kg, in week: 25


UUID: 696dd19e-0c6a-4d75-9344-9a9b94b5987a
NEW CROP, BARLEY, amount: 197kg, in week: 1


UUID: c44be535-c5a7-43a8-ba14-fdf1532f9744
NEW CROP, APPLE, amount: 734kg, in week: 23
CROP HAS BEEN HARVESTED IN WEEK: 29 by bb788b93-b043-416b-88c0-8fc015dc3e31
CROPT HAS BEEN SHIPPED, APPLE, amount: 734kg, in week:30
NEW PRODUCT, APPLE, amount: 734kg, shop price: 63.0 in week:30 by7e13ae06-9ac1-426f-bc58-1726e61d33e5


UUID: f2098613-eb79-4ce4-b967-c8392a1521cd
NEW CROP, FLEX, amount: 165kg, in week: 2


UUID: 70a845fc-ed4e-4ced-a4cd-1f6b1caf66ff
NEW CROP, CHERRIES, amount: 802kg, in week: 5


UUID: edb990eb-0952-41de-ab94-7d72e48566b9
NEW CROP, PEAR, amount: 478kg, in week: 3


UUID: fee1cf91-1ec4-4f9c-9a30-cf10852ead22
NEW CROP, ONION, amount: 643kg, in week: 14


UUID: 001798c2-332e-4a33-ac58-a7b08960ca45
NEW CROP, HOP, amount: 365kg, in week: 25


UUID: 8eb3064c-f7f5-4af0-9676-76e7fd6a3906
NEW CROP, ONION, amount: 276kg, in week: 2


UUID: 9c719018-8e3c-438a-bc9c-a1f2b67a17c3
NEW CROP, BEAN, amount: 251kg, in week: 4


UUID: 73bc1642-dc56-4438-85de-7032bb99baed
NEW CROP, BARLEY, amount: 927kg, in week: 11
CROP HAS BEEN HARVESTED IN WEEK: 17 by 1a6111ef-fb73-4928-bb4b-404e31c01ef4


UUID: 30ba5fee-03cc-4f56-b920-9548665164fe
NEW CROP, BEAN, amount: 771kg, in week: 4


UUID: 564cd2e9-c515-4a8f-8b24-30e13b64ba92
NEW CROP, POPPY, amount: 802kg, in week: 11
CROPT HAS BEEN SHIPPED, POPPY, amount: 802kg, in week:11
NEW PRODUCT, Milled poppy, amount: 601kg, shop price: 41.0 in week:11 by7e13ae06-9ac1-426f-bc58-1726e61d33e5
PRODUCT HAS BEEN SHIPPED, Milled poppy, shop price: 41.0 in week:12
PRODUCT HAS BEEN PURCHASED, Milled poppy, amount: 13kg, shop price: 41.0 in week:12 by customer 7dfafab9-eeba-4dca-bf4c-d29d55b2f7ac
PRODUCT HAS BEEN PURCHASED, Milled poppy, amount: 10kg, shop price: 41.0 in week:12 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
PRODUCT HAS BEEN PURCHASED, Milled poppy, amount: 5kg, shop price: 41.0 in week:13 by customer 51f1e967-36db-4b75-a6e9-fb1fb517f30c
PRODUCT HAS BEEN PURCHASED, Milled poppy, amount: 5kg, shop price: 41.0 in week:13 by customer 7dfafab9-eeba-4dca-bf4c-d29d55b2f7ac
PRODUCT HAS BEEN PURCHASED, Milled poppy, amount: 10kg, shop price: 41.0 in week:13 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
PRODUCT HAS BEEN PURCHASED, Milled poppy, amount: 5kg, shop price: 41.0 in week:14 by customer badcc8d5-3fb3-43c3-b658-beb8dea5a912
PRODUCT HAS BEEN PURCHASED, Milled poppy, amount: 10kg, shop price: 41.0 in week:14 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
PRODUCT HAS BEEN PURCHASED, Milled poppy, amount: 11kg, shop price: 41.0 in week:15 by customer 7dfafab9-eeba-4dca-bf4c-d29d55b2f7ac
PRODUCT HAS BEEN PURCHASED, Milled poppy, amount: 10kg, shop price: 41.0 in week:15 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
PRODUCT HAS BEEN PURCHASED, Milled poppy, amount: 10kg, shop price: 41.0 in week:17 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
THE REST OF PRODUCT WAS SPOILED, in week:17


UUID: 27f4c39f-3294-4ebc-beec-bceed4fbcbb4
NEW CROP, SUNFLOWER, amount: 771kg, in week: 30


UUID: 96c5f9db-440e-41b3-83de-c218fe582833
NEW CROP, HOP, amount: 468kg, in week: 22


UUID: 938cbbc7-e020-4c2f-8c83-4206464b2185
NEW CROP, SUNFLOWER, amount: 987kg, in week: 11
CROPT HAS BEEN SHIPPED, SUNFLOWER, amount: 987kg, in week:11
NEW PRODUCT, Sunflower oil, amount: 148l, shop price: 54.0 in week:11 by7e13ae06-9ac1-426f-bc58-1726e61d33e5
PRODUCT HAS BEEN SHIPPED, Sunflower oil, shop price: 54.0 in week:12
PRODUCT HAS BEEN PURCHASED, Sunflower oil, amount: 9l, shop price: 54.0 in week:12 by customer 7dfafab9-eeba-4dca-bf4c-d29d55b2f7ac
PRODUCT HAS BEEN PURCHASED, Sunflower oil, amount: 10l, shop price: 54.0 in week:12 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
PRODUCT HAS BEEN PURCHASED, Sunflower oil, amount: 9l, shop price: 54.0 in week:13 by customer 51f1e967-36db-4b75-a6e9-fb1fb517f30c
PRODUCT HAS BEEN PURCHASED, Sunflower oil, amount: 10l, shop price: 54.0 in week:13 by customer 7dfafab9-eeba-4dca-bf4c-d29d55b2f7ac
PRODUCT HAS BEEN PURCHASED, Sunflower oil, amount: 10l, shop price: 54.0 in week:13 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
PRODUCT HAS BEEN PURCHASED, Sunflower oil, amount: 11l, shop price: 54.0 in week:14 by customer badcc8d5-3fb3-43c3-b658-beb8dea5a912
PRODUCT HAS BEEN PURCHASED, Sunflower oil, amount: 14l, shop price: 54.0 in week:14 by customer 51f1e967-36db-4b75-a6e9-fb1fb517f30c
PRODUCT HAS BEEN PURCHASED, Sunflower oil, amount: 10l, shop price: 54.0 in week:14 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
PRODUCT HAS BEEN PURCHASED, Sunflower oil, amount: 10l, shop price: 54.0 in week:15 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
PRODUCT HAS BEEN PURCHASED, Sunflower oil, amount: 10l, shop price: 54.0 in week:17 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
THE REST OF PRODUCT WAS SPOILED, in week:17


UUID: 9bc098ce-5a89-41d0-acef-20d87582b0f0
NEW CROP, SALAD, amount: 663kg, in week: 5


UUID: 3c629e90-14a6-48cf-91b4-e8a60e3710ac
